id,title,artist,year,imagepath
247,Le Cardinal de Richelieu reçoit les premiers Académiciens qui lui présentent les statuts de l'Académie,219,1833,473718fcb1b63608603dfd21fad578f8cfe5ee4eacef46db055c15b8b28e413d.jpg
248,La poule blanche,195,1660,51e9b91d55b965d2e2aa04f9edf7861302552ef509a7a48596dc70818fac2a1e.jpg
249,Paysage avec des chasseurs,196,1660,bfb95b25d365bbbdcc5a7ee50cdec8b1d557f85c6ecb022da5bfb0be6469984b.jpg
250,Chasse au sanglier,220,1675,18a6a0d9f360bef175e3100a9aaff0a79de8c9dd0b322eeb8564ad72002845f1.jpg
251,Vue de la grotte des sirènes à Tivoli,221,1812,3e539b9eec9e735bd62fc0fe83fc0a1ac676f2d0ed1bb13c1667fdaf56e56a8a.jpg
252,Moïse sur le mont Sinaï,222,1640,389dbb945d5451a9726f77de4c7682f176864d83f58bf97979c2b72ae5fe85a7.jpg
253,Céphale et Procris — Paysage,223,1675,ad8085da16fc91602dbf8ce69824e581515fba1106ce75717325d12586eff0b7.jpg
254,Etude pour L'Apothéose d'Homère,124,1827,5483104f506c591a5b9a9d3b27218d44b9c68988c0a86379d44a56feb37b59d3.jpg
255,Paysage au mendiant,224,1730,e477138917553c773e95c637d0cc858fdc10c697b89c0acaa272f4ad6963b7de.jpg
256,Sainte Famille avec Saint Jean-Baptiste.,225,1633,80cb7860307b1153b61dd7cbc5d7e7439d91d7d19c3a37e0f2ccd448b26c427b.jpg
257,Madeleine expirant,62,1857,e4ad944b7656de3a93d32cc8fd01f8f954a739f7149a23881792bc6c43cb2c9f.jpg
258,Danaé,226,1827,d1cdb5c4b6a2f6a9db8002fc63e56d9542f1c552861ca6084892015f0f7c99a7.jpg
259,Saint Jérôme écrivant,227,1620,ac42929495c26c48e2567b4bb9f4de63c9ee85deae7088a859d98375461bb649.jpg
260,Nezla d'Ouargla : à la recherche d'un campement,228,1859,6afddf98e3389d43bcd7e378319130e484585273509c69669ffdde54c21e3075.jpg
261,"Vue des bords de la Seine sous le Château Gaillard, aux Andelys lieu de naissance",229,1834,216b019d33debac0bd8f2eebe0c5e0e6f0f94bbcd6eef30f3a1eb62c50844a0e.jpg
262,Portrait de Jean Bestieu,230,1824,6c7f8ad730f785876b1c214733f4cf37a5fd944289d08e36798f6f19fe073c09.jpg
263,Le Baptême du Christ,231,1635,3b801e0b4bf8b80f670dac5e0f51ba224f8b6b50fca6ece8f7b230e4a45f277e.jpg
264,"Paysage historique, site d'Italie",232,1843,48024deb890adf1ba6f43bdee067fd8df5284ca9faaed0b1618f829b2ea27082.jpg
265,"Le soir après l'orage, environs de Montpellier",233,1874,2db4b4bbb9400a31f6031103b5c9e99d69a0ed929c261c751c6d2d428b6ca3c9.jpg
266,Souvenir de Gustave Courbet,234,1870,6af0ef51546027056f85b871296b9c8092dcec9a52028ee3741354a3cbe78cae.jpg
